ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000776	FAT2	1	2	4	1	1	4	2.118460205412476	-0.19129875057156376	1.6282778198579453	-0.11748532605342073	0.906475471625472	0.9998207068924773
ENSTGUG00000000777	PTPRU	112	136	132	119	131	206	138.0312728048151	0.29997858808343125	0.2779359208019199	1.0793084507317814	0.2804502469103181	0.9998207068924773
ENSTGUG00000000778	PUS3	335	384	315	289	273	314	316.52139192888626	-0.19060724987852684	0.18786287166115426	-1.014608411939548	0.31029252792120715	0.9998207068924773
ENSTGUG00000000779		190	176	122	114	147	106	141.78543249403143	-0.3739462650604528	0.2926903303990436	-1.2776174209466633	0.20138435495673523	0.9998207068924773
ENSTGUG00000000780	DDX25	294	233	136	295	227	97	216.1361708212149	-0.03255106092231687	0.4445724874944428	-0.07321879297068233	0.9416320118973613	0.9998207068924773
ENSTGUG00000000781	UHRF1	31	19	16	19	13	24	20.40538041816789	-0.20560474220531152	0.6134664411872269	-0.33515238715814605	0.7375101364770004	0.9998207068924773
ENSTGUG00000000782		430	745	529	463	831	549	582.4680871515079	0.1571373406602466	0.24486665278188952	0.6417261757574388	0.5210509904072711	0.9998207068924773
ENSTGUG00000000783	DIP2C	1899	1883	1643	2029	1932	1600	1831.5594178514352	0.08797608729400036	0.18539846881001887	0.4745243467148104	0.635126040468267	0.9998207068924773
ENSTGUG00000000784		47	100	82	75	65	134	82.73001152830219	0.3129658497404	0.40217859750172097	0.7781762920366759	0.4364650912800484	0.9998207068924773
ENSTGUG00000000785	RORB	14	20	15	7	17	14	14.21628712915373	-0.33868848624980724	0.6654081417133536	-0.5089936010967964	0.6107567093742485	0.9998207068924773
ENSTGUG00000000786		184	190	112	91	136	115	136.6493154764735	-0.4753653711013255	0.3018266771549598	-1.574961416870616	0.11526535069874812	0.9998207068924773
ENSTGUG00000000787		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000788	GM2A	895	412	2200	823	402	2398	1179.096833501558	0.061746290417685624	0.9367445138084103	0.0659158281767257	0.947444838926468	0.9998207068924773
