id	Fem7_Exe_MSt	Fem8_Exe_MSt	Fem9_Exe_MSt	Fem7_Exe_AreaX	Fem8_Exe_AreaX	Fem9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CAB39	1700	1897	2419	1491	1793	2149	1885.1170645064815	-0.09685265471058098	0.15613708515611507	-0.6203052568436382	0.5350568346440441	0.9999773224878018
BMT2	185	209	217	124	175	224	186.5297450696283	-0.1869955329714183	0.25035452902327243	-0.7469229084888478	0.4551100968305269	0.9999773224878018
unown5210	30	16	59	16	39	39	32.35378868706464	-0.11772009477889525	0.6328072913971082	-0.1860283476174769	0.8524225311447039	0.9999773224878018
ALK	81	110	84	106	87	91	93.18655325315777	0.10745329797019569	0.3225778093890103	0.3331081520260843	0.7390526460379514	0.9999773224878018
E2F4	494	686	1262	406	629	986	725.274751549424	-0.22174783822320368	0.3405199935956698	-0.6512035780386656	0.5149150809492118	0.9999773224878018
TMEM168	50	99	87	81	75	115	83.69370895182102	0.25776654817592737	0.37285166491780486	0.6913380639798189	0.4893531165758774	0.9999773224878018
RIPK4	36	68	74	31	22	59	47.39949703112755	-0.6102331860971114	0.519696104745732	-1.1742115835093199	0.24031028745112998	0.9999773224878018
unown5211	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown5212	105	95	139	105	108	182	121.08225833015015	0.26638211026273	0.3206074759788058	0.8308668082348135	0.4060488761608444	0.9999773224878018
PALMD	75	90	75	52	58	62	68.12359523425727	-0.4341515663988817	0.32859939856173676	-1.3212183841453804	0.18642855813328577	0.9999773224878018
unown5213	105	128	153	132	142	152	134.31243588524677	0.1995913170750381	0.24936371400904264	0.8004024076566343	0.4234776864995184	0.9999773224878018
unown5214	0	6	0	0	4	6	2.5791748054820625	0.7229462130632434	2.451940382452265	0.29484657059247155	0.7681110887872156	0.9999773224878018
ITM2C	5686	9347	7595	5300	8676	7244	7216.622816036188	-0.04968620184081838	0.19912579740126238	-0.24952167167318215	0.8029572793648372	0.9999773224878018
LSMEM1	1	1	2	12	3	2	3.6858952746695492	2.226254496916521	1.536611966339567	1.4488072107233312	0.14739142951797446	0.9999773224878018
ELMO3	40	25	32	32	42	45	35.859684540627406	0.32833517967801584	0.465416248828391	0.705465656827723	0.4805204970485144	0.9999773224878018
IFRD1	5154	2810	3905	4456	2673	3786	3819.2310001746887	-0.06298396713174821	0.2848580965811508	-0.2211064662991078	0.8250095354806435	0.9999773224878018
GBGT1	33	31	76	35	32	120	53.27917333359816	0.4625851251951068	0.6221051969183591	0.7435802296565823	0.45713046755365205	0.9999773224878018
unown5215	0	0	7	3	9	0	3.0812613054272138	0.9007798721972822	2.38649123286105	0.37744947888091773	0.7058396024870164	0.9999773224878018
unown5216	226	423	442	207	453	442	358.0119638613401	0.05404286109164421	0.3181445517460377	0.16986888757027815	0.8651132495996137	0.9999773224878018
unown5217	0	1	0	0	0	0	0.16252652229885126	-0.9108188294541582	4.080472856796901	-0.2232140395045134	0.8233689256373543	0.9999773224878018
GTF2A2	1820	1451	1828	1551	1509	1917	1671.4998258328108	0.012174495691747346	0.16835098345892194	0.07231615427252881	0.9423503091049475	0.9999773224878018
AP3M2	461	570	756	643	571	812	630.3919423752722	0.2442216941534811	0.21404548360970502	1.1409803656441544	0.25387809374167214	0.9999773224878018
unown5218	0	6	1	0	5	0	1.9341868794742623	-0.47828801126805154	2.7153089174472735	-0.1761449712755709	0.8601800512577417	0.9999773224878018
YWHAE	11252	13190	16715	10082	11918	13454	12612.850621019817	-0.161349984598283	0.1421308433653723	-1.1352214676128005	0.25628253691880665	0.9999773224878018
CDK2AP1	1866	2067	1673	1720	2037	1716	1840.4765693344634	0.011266353137184324	0.1612745327638785	0.06985822835201981	0.9443065008091449	0.9999773224878018
PRDM15	501	759	916	524	784	756	695.7128176521933	-0.023253156643041045	0.2199434535699568	-0.10572334054782394	0.9158018610552595	0.9999773224878018
unown5219	98	97	35	103	121	37	82.83277197557892	0.22615689282914397	0.5758606486700433	0.392728507064089	0.6945200133399068	0.9999773224878018
PDGFC	159	154	138	107	74	130	126.50172523452797	-0.4869439118881109	0.3187849516134164	-1.5274996809718209	0.12663680649120912	0.9999773224878018
C12orf65	163	256	183	168	235	159	192.63628535806887	-0.04956253565086289	0.28205980246962864	-0.1757164091334838	0.8605167432645082	0.9999773224878018
PLPPR4	2379	4288	4746	2661	3884	4516	3681.62480114198	0.006290411909781942	0.2349816448617366	0.02676980116248325	0.9786433397634858	0.9999773224878018
unown5220	518	582	584	402	604	610	544.0154634603424	-0.020937229748705835	0.1741474583613394	-0.12022701879038093	0.9043033151087638	0.9999773224878018
USP37	204	216	242	219	158	189	204.19653905894643	-0.1588146369303084	0.25320894284590373	-0.6272078511340683	0.5305229974653671	0.9999773224878018
unown5221	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown5222	228	91	137	136	99	135	138.36926599531364	-0.26128539588121785	0.40902701657230855	-0.6387974028483944	0.5229547380556623	0.9999773224878018
CLIP4	926	1611	1691	909	1398	1851	1372.5816778351987	0.019757036401234832	0.2560628620596487	0.07715697716692911	0.9384986668192313	0.9999773224878018
ZMYND8	881	1005	1045	887	1131	1067	995.0139199321326	0.12189228444566091	0.12618585785610736	0.9659742107127209	0.3340570858733356	0.9999773224878018
GPR55	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
OTUD7A	1028	1258	1139	966	1139	858	1058.732039103847	-0.15440910516644654	0.17147639023129604	-0.9004686007104051	0.36787092780687514	0.9999773224878018
POLR1D	745	867	871	719	920	956	839.1759725106813	0.1089479315723955	0.13647036656390835	0.7983266573947082	0.4246809523653821	0.9999773224878018
unown5223	1	0	0	1	0	0	0.36081910538018497	0.050961849974700026	4.080472856796901	0.01248920205162305	0.9900353175557427	0.9999773224878018
unown5224	1	9	8	0	3	0	3.343640100752126	-2.544608319746583	1.9354153313549853	-1.3147608570224054	0.18859028646273904	0.9999773224878018
MED22	506	632	673	470	720	562	587.3821259563646	-1.663672743865339e-4	0.18387852920170125	-9.047672673302776e-4	0.999278100264769	0.9999773224878018
unown5225	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
FADD	17	41	41	27	24	35	30.396703915195076	-0.13513651581763636	0.5469192762839822	-0.24708676705603647	0.8048410746433519	0.9999773224878018
ST6GAL1	250	237	307	250	277	369	279.30385920833965	0.2210337501163624	0.21376049415674667	1.0340252579800007	0.3011243554404425	0.9999773224878018
GLRB	1594	1741	1927	1349	1621	1920	1675.2401850532713	-0.06020100935732676	0.13429425200553427	-0.44827688794041515	0.6539533784995569	0.9999773224878018
unown5226	128	126	137	112	143	94	122.70310052921444	-0.11169550461715068	0.28454307811322277	-0.39254339046935394	0.6946567576757138	0.9999773224878018
PLAT	132	197	228	139	161	143	164.6263957824945	-0.26721367968019166	0.262974211054071	-1.0161212333678187	0.30957165889095206	0.9999773224878018
SMARCA2	1825	1898	1854	1810	1956	1854	1859.341769417266	0.06179463656849281	0.12432435989627867	0.49704367366175733	0.6191582536731155	0.9999773224878018
PPFIA1	713	970	868	685	842	701	790.2003854684949	-0.14220417781985673	0.1671333169023311	-0.8508427909855795	0.3948566877824103	0.9999773224878018
VAMP7	619	674	735	575	613	700	647.7740178795075	-0.05208244877004553	0.14066629688304808	-0.3702553484673561	0.7111922401037148	0.9999773224878018
unown5227	5902	5062	5168	5195	5242	5527	5339.04108623157	0.031267108535617934	0.14695109925416613	0.21277219901253305	0.831504649186736	0.9999773224878018
WDR43	1071	1008	1246	960	958	1067	1045.0534592362023	-0.10146789047645392	0.14218372444295085	-0.713639278152166	0.47545026304875454	0.9999773224878018
ZNF277	1152	1354	1374	1109	1262	1177	1229.3738685028682	-0.07570074385969977	0.12423131414900601	-0.6093531600969985	0.5422903778247685	0.9999773224878018
PLPPR5	2555	2902	3850	2559	2958	3290	2985.714587671079	-0.02397551651329854	0.14998727031445924	-0.15985034238593798	0.8729989664266598	0.9999773224878018
unown5228	0	0	0	2	8	0	1.6631754936627112	4.2100202280700225	3.1547275156237204	1.3345115250746657	0.18203627230886327	0.9999773224878018
unown5229	12	0	0	0	3	0	2.5734474577591557	-2.0973245089564565	3.0122010580720295	-0.696276400055067	0.4862557497784474	0.9999773224878018
ADIPOQ	0	0	1	1	0	0	0.33955587689370964	0.050961849974699686	4.080472856796901	0.012489202051622966	0.9900353175557427	0.9999773224878018
unown5230	154	170	146	121	160	158	150.4093791734486	-0.05826175568544153	0.24085112390256372	-0.24189945532083676	0.8088580721929949	0.9999773224878018
COPS9	5138	5756	7827	4752	6147	8071	6195.178417707132	0.06588981463123067	0.1873190604890819	0.351751788948734	0.7250244174862999	0.9999773224878018
KLF13	763	583	328	621	545	298	529.2012927547057	-0.14384865184161166	0.3856240717881244	-0.37302819602155757	0.7091274587106624	0.9999773224878018
SFMBT1	351	348	301	282	336	278	314.9554863247411	-0.11367326195272787	0.20694568917705217	-0.5492903109253695	0.5828062355620582	0.9999773224878018
EEPD1	596	481	631	451	491	605	538.4980917638475	-0.09808700098135582	0.18565033726179272	-0.5283427028901087	0.597261497886213	0.9999773224878018
unown5231	599	723	547	585	830	546	635.7492577044027	0.11311607232598343	0.22141574720603008	0.5108763660821628	0.60943763121610806	0.9999773224878018
unown5232	125	95	42	78	98	44	81.02374342256155	-0.22154262636322397	0.5221359154801966	-0.42430068454393954	0.6713465400594718	0.9999773224878018
unown5233	532	459	621	510	461	613	529.703885918115	0.02869993867639303	0.19443984411241083	0.14760317674293563	0.8826559478871839	0.9999773224878018
OTOS	16	4	1	8	0	0	5.082716393165076	-1.2797534155393655	1.929167819016834	-0.6633707046759514	0.5070931634590687	0.9999773224878018
unown5234	364	567	635	483	572	603	531.3982143349244	0.1414484994612343	0.20659330527593653	0.6846712640194632	0.4935513861823506	0.9999773224878018
unown5235	13	21	20	15	23	22	18.759684872436868	0.19919928070701856	0.600906080065041	0.33149819466872027	0.740268204419255	0.9999773224878018
unown5236	368	388	404	257	442	324	359.94059471715184	-0.1423867358359102	0.21396429159152933	-0.6654696200791065	0.5057501684445134	0.9999773224878018
SNX7	191	207	275	156	206	292	217.95822941346316	0.0015816761515262125	0.26525854743852845	0.005962771668621737	0.995242424738348	0.9999773224878018
GPC1	755	780	984	841	1161	879	893.3751960979332	0.24588761110223323	0.17027541518606065	1.444058209069999	0.1487226022395285	0.9999773224878018
TRMT61B	501	536	523	458	437	460	483.80378218933396	-0.14895655033979763	0.16494083375650792	-0.9030908050319006	0.3664777036678068	0.9999773224878018
KIAA0895	61	125	152	69	151	184	120.8154184328371	0.2989938389959833	0.4241514334841812	0.7049223824140024	0.4808585403157171	0.9999773224878018
unown5237	280	228	200	212	247	233	233.03696507375452	0.004387190557828924	0.24478064779361514	0.017922946921555452	0.9857003229570056	0.9999773224878018
GRIA2	7271	8243	8537	6715	7149	7929	7584.674621456998	-0.09043018029660739	0.10275880364683895	-0.8800236776539115	0.3788464828402941	0.9999773224878018
unown5238	456	648	633	379	554	572	533.0071996187013	-0.1621115703489112	0.19454240081000868	-0.8332968528913671	0.4046773307795512	0.9999773224878018
SPDYA	14	4	3	0	6	2	4.833884212032713	-1.4419740600023236	1.506237373595573	-0.9573352017950232	0.33839809306953916	0.9999773224878018
unown5239	0	4	2	0	4	0	1.600788503478514	-0.5614750030414698	2.766936081692797	-0.20292301175889918	0.8391952076736309	0.9999773224878018
unown5240	0	0	0	1	0	0	0.18667236211188865	1.0127345221883308	4.080472856796901	0.24819048128243387	0.8039870308300985	0.9999773224878018
